size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,exact,left,right
 14, 4, 4,  4,  3,   , combine, 12,0.15,   0.000,N,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]"
 14, 4, 4,  4,  3,   ,combineS, 12,0.15,   0.000,N,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]"
 14, 4, 4,  4,  3,   ,  greedy, 12,0.15,   0.000,N,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]"
 14, 4, 4,  4,  3,  0,     pso, 12,0.15,   0.276,N,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]"
 14, 4, 4,  4,  3,  0, psoPure, 12,0.15,   0.290,N,"[0,3,0,8,0,0 1,7,3,6,1 4,4,5]","[3,0 1,0,6,5,0,7,0,4,3,1 4,8]"
 14, 4, 4,  4,  3,  0, psoComb, 12,0.15,   1.033,N,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]"
 14, 4, 4,  4,  3,   ,     FPT, 11,0.23,   0.170,Y,,
 15, 3, 6,  4,  4,   , combine, 13,0.14,   0.000,N,"[3,0,5,2 3,2,3,7,6,3,4,0,8,9 0]","[0,0,9 0,2 3,4,3,3,8,7,3,6,2,5]"
 15, 3, 6,  4,  4,   ,combineS, 13,0.14,   0.000,N,"[3,0,5,2,3,2,3,7,6,3 4,0,8,9 0]","[0,0,9 0,2,3 4,3,3,8,7,3,6,2,5]"
 15, 3, 6,  4,  4,   ,  greedy, 13,0.14,   0.001,N,"[3,0,5,2,3,2,3,7,6,3 4,0,8,9 0]","[0,0,9 0,2,3 4,3,3,8,7,3,6,2,5]"
 15, 3, 6,  4,  4,  0,     pso, 13,0.14,   0.360,N,"[3,0,5,2 3,2,3,7,6,3,4,0,8,9 0]","[0,0,9 0,2 3,4,3,3,8,7,3,6,2,5]"
 15, 3, 6,  4,  4,  0, psoPure, 13,0.14,   0.356,N,"[3,0,5,2,3,2 3,7,6,3,4,0,8,9 0]","[0,0,9 0,2 3,4,3,3,8,7,3,6,2,5]"
 15, 3, 6,  4,  4,  0, psoComb, 13,0.14,   1.215,N,"[3,0,5,2 3,2,3,7,6,3,4,0,8,9 0]","[0,0,9 0,2 3,4,3,3,8,7,3,6,2,5]"
 15, 3, 6,  4,  4,   ,     FPT, 13,0.14,   0.831,Y,,
 16, 4, 2,  4, 17,   , combine, 10,0.40,   0.000,N,"[2 2,3 2,0,5,3 2 3,0,8,7,3,5 0 0]","[3 2,5,8,0,3,2 2,0,3 2 3,5 0 0,7]"
 16, 4, 2,  4, 17,   ,combineS, 10,0.40,   0.000,N,"[2 2,3 2,0,5,3 2 3,0,8,7,3,5 0 0]","[3 2,5,8,0,3,2 2,0,3 2 3,5 0 0,7]"
 16, 4, 2,  4, 17,   ,  greedy, 10,0.40,   0.000,N,"[2 2,3 2,0,5,3 2,3,0,8,7,3 5 0 0]","[3 2,5,8,0,3,2 2,0,3 2,3 5 0 0,7]"
 16, 4, 2,  4, 17,  0,     pso, 10,0.40,   1.530,N,"[2 2,3 2,0,5,3 2,3,0,8,7,3 5 0 0]","[3 2,5,8,0,3,2 2,0,3 2,3 5 0 0,7]"
 16, 4, 2,  4, 17,  0, psoPure, 10,0.40,   1.558,N,"[2 2,3 2,0,5,3 2,3,0,8,7,3 5 0 0]","[3 2,5,8,0,3,2 2,0,3 2,3 5 0 0,7]"
 16, 4, 2,  4, 17,  0, psoComb, 10,0.40,   2.364,N,"[2 2,3 2,0,5,3 2,3,0,8,7,3 5 0 0]","[3 2,5,8,0,3,2 2,0,3 2,3 5 0 0,7]"
 16, 4, 2,  4, 17,   ,     FPT, 10,0.40,   1.864,Y,,
 18, 3,11,  3,  3,   , combine, 16,0.12,   0.000,N,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]"
 18, 3,11,  3,  3,   ,combineS, 16,0.12,   0.000,N,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]"
 18, 3,11,  3,  3,   ,  greedy, 16,0.12,   0.001,N,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]"
 18, 3,11,  3,  3,  0,     pso, 16,0.12,   0.291,N,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]"
 18, 3,11,  3,  3,  0, psoPure, 16,0.12,   0.285,N,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]"
 18, 3,11,  3,  3,  0, psoComb, 16,0.12,   1.462,N,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]"
 18, 3,11,  3,  3,   ,     FPT, 15,0.18,   0.061,Y,,
 18, 3, 8,  5,  6,   , combine, 14,0.24,   0.000,N,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1 0,4,1,0,8,2,0 3,9,0]"
 18, 3, 8,  5,  6,   ,combineS, 14,0.24,   0.000,N,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1 0,4,1,0,8,2,0 3,9,0]"
 18, 3, 8,  5,  6,   ,  greedy, 14,0.24,   0.001,N,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1 0,4,1,0,8,2,0 3,9,0]"
 18, 3, 8,  5,  6,  0,     pso, 14,0.24,   0.693,N,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1 0,4,1,0,8,2,0 3,9,0]"
 18, 3, 8,  5,  6,  0, psoPure, 14,0.24,   0.679,N,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1,0,4,1 0,8,2,0 3,9,0]"
 18, 3, 8,  5,  6,  0, psoComb, 14,0.24,   1.672,N,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1 0,4,1,0,8,2,0 3,9,0]"
 18, 3, 8,  5,  6,   ,     FPT, 12,0.35,   0.283,Y,,
 18, 2, 8,  5,  6,   , combine, 16,0.12,   0.000,N,"[0,0,7,9,5,8,0,6,2,10,2 0,2 2,4,0,3,2]","[9,0,5,0,10,3,0,2 2,7,6,0,2,4,2 0,8,2]"
 18, 2, 8,  5,  6,   ,combineS, 16,0.12,   0.000,N,"[0,0,7,9,5,8,0,6,2,10,2 0,2,2 4,0,3,2]","[9,0,5,0,10,3,0,2,2,7,6,0,2 4,2 0,8,2]"
 18, 2, 8,  5,  6,   ,  greedy, 16,0.12,   0.001,N,"[0,0,7,9,5,8,0,6,2,10,2,0 2 2,4,0,3,2]","[9,0,5,0,10,3,0 2 2,7,6,0,2,4,2,0,8,2]"
 18, 2, 8,  5,  6,  0,     pso, 16,0.12,   0.346,N,"[0,0,7,9,5,8,0,6,2,10,2,0 2 2,4,0,3,2]","[9,0,5,0,10,3,0 2 2,7,6,0,2,4,2,0,8,2]"
 18, 2, 8,  5,  6,  0, psoPure, 16,0.12,   0.357,N,"[0,0,7,9,5,8,0,6,2,10,2,0 2,2 4,0,3,2]","[9,0,5,0,10,3,0 2,2,7,6,0,2 4,2,0,8,2]"
 18, 2, 8,  5,  6,  0, psoComb, 16,0.12,   1.549,N,"[0,0,7,9,5,8,0,6,2,10,2,0 2 2,4,0,3,2]","[9,0,5,0,10,3,0 2 2,7,6,0,2,4,2,0,8,2]"
 18, 2, 8,  5,  6,   ,     FPT, 15,0.18,   7.553,Y,,
 18, 3, 2,  9, 40,   , combine, 12,0.35,   0.000,N,"[0 1,0 1,0,0 1 1,2,3,1 2,4,1 1,1,2,1]","[1,0 1 1,0,2,4,2,1 1,0 1,1,1 2,0 1,3]"
